date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:14	1183381/1183381	---MCZ	200	added ('OK')	text/html	etag:W/%2275af476c177593d4e9fd429cf3ea3db7%22	https://www.jja.co.il/english	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web44/Site44/www.jja.co.il/english.html	(from )
15:49:14	366/366	---M--	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2010:20:05%20GMT	https://www.jja.co.il/robots.txt		(from )
15:49:15	2186/2186	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Oct%202022%2010:09:49%20GMT	https://static.wixstatic.com/media/522405_9d976a20dde044faad3bd0d927cecabf~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/522405_9d976a20dde044faad3bd0d927cecabf~mv2.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web44/Site44/static.wixstatic.com/media/522405_9d976a20dde044faad3bd0d927cecabf_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/522405_9d976a20dde044faad3bd0d927cecabf_mv2.1	(from https://www.jja.co.il/english)
15:49:15	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web44/Site44/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.jja.co.il/english)
15:49:15	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web44/Site44/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.jja.co.il/english)
15:49:16	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2016:31:53%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web44/Site44/polyfill.io/v3/polyfill.mind82c.js	(from https://www.jja.co.il/english)
15:49:16	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web44/Site44/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.jja.co.il/english)
15:49:17	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:20:08%20GMT	https://www.jja.co.il/decodeURIComponent(e	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web44/Site44/www.jja.co.il/decodeURIComponent(e	(from https://www.jja.co.il/english)
15:49:19	573/573	---M--	200	added ('OK')	text/xml	date:Sat,%2029%20Oct%202022%2010:20:10%20GMT	https://www.jja.co.il/sitemap.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web44/Site44/www.jja.co.il/sitemap.xml	(from https://www.jja.co.il/english)
15:49:19	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:20:10%20GMT	https://www.jja.co.il/feed.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web44/Site44/www.jja.co.il/feed.xml	(from https://www.jja.co.il/english)
15:49:19	184042/184042	---M-Z	200	added ('OK')	application/javascript	etag:W/%223b3cf8a1dca3a22adc4d2bd4a00c6bf3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.9ca6e510.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web44/Site44/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.9ca6e510.bundle.min.js	(from https://www.jja.co.il/english)
